,age,job,marital,education,default,balance,ratio_bal_ln,ratio_ln_inc,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
0,32,technician,single,tertiary,no,392,1.3001344207883823,0.4738951236078395,yes,no,cellular,1,apr,957,2,131,2,failure,no
1,39,technician,divorced,secondary,no,688,-0.193701269012734,0.23702110775729934,yes,yes,cellular,1,apr,233,2,133,1,failure,no
2,59,retired,married,secondary,no,1035,1.3342660137390616,0.12198119028271623,yes,yes,cellular,1,apr,126,2,239,1,failure,no
3,47,blue-collar,married,secondary,no,398,0.3622855469776959,1.2513283370957287,yes,yes,cellular,1,apr,274,1,238,2,failure,no
4,54,retired,married,secondary,no,1004,0.07207520975666715,-0.5337375037792707,yes,no,cellular,1,apr,479,1,307,1,failure,no
5,46,self-employed,divorced,tertiary,no,926,0.23361873808164374,0.9221972399652619,yes,no,cellular,1,apr,463,1,133,3,failure,no
6,34,blue-collar,married,secondary,no,1924,0.022647849390559527,0.7242269389938684,yes,yes,cellular,1,apr,161,2,253,1,failure,no
7,45,services,divorced,secondary,no,396,-0.7248889538685237,-0.9986049563085981,yes,yes,cellular,1,apr,251,4,329,4,failure,no
8,58,management,divorced,tertiary,no,315,0.502131106522266,-0.04539078544791253,yes,no,cellular,1,apr,121,2,135,2,failure,no
9,49,management,divorced,tertiary,no,20727,1.3316253142237258,-0.4208298070889902,no,no,cellular,1,apr,285,3,132,2,failure,no
10,38,management,single,,no,715,1.0794587973694445,-1.6429140260201058,yes,no,cellular,2,apr,951,1,132,3,failure,no
11,49,admin.,married,secondary,no,182,1.3685971030958137,-0.2635675272599099,yes,no,cellular,2,apr,303,1,331,2,failure,no
12,36,technician,married,secondary,no,4613,0.590778858352478,0.3095803021469945,no,no,cellular,2,apr,320,1,134,2,failure,no
13,39,technician,married,secondary,no,508,1.5732361839821776,-1.4824663617184624,yes,no,cellular,2,apr,598,2,135,5,failure,no
14,48,services,married,secondary,no,0,1.287661918220318,0.5514981376378971,yes,no,cellular,2,apr,146,1,267,1,failure,no
15,38,blue-collar,married,,no,0,0.6067958741671274,0.5838238289203683,yes,no,cellular,2,apr,477,2,267,1,failure,no
16,46,self-employed,married,secondary,no,-30,0.5057945221116507,-0.1519078871145461,yes,yes,cellular,2,apr,164,1,300,2,failure,no
17,35,self-employed,married,tertiary,no,560,1.0994622430560694,-0.09254986699519492,yes,no,cellular,2,apr,58,1,136,1,failure,no
18,58,technician,married,secondary,no,1,1.74885367288566,-1.15653260793414,no,no,cellular,2,apr,333,1,64,2,failure,no
19,35,management,single,tertiary,no,4348,0.6446153745864222,0.43175474858356994,yes,no,cellular,2,apr,1074,3,217,8,failure,no
20,32,admin.,married,tertiary,no,233,0.6779572384174486,0.07962044533027524,yes,no,cellular,2,apr,77,2,133,4,failure,no
21,30,management,single,tertiary,no,0,-1.1385063390377983,-1.4813421826665343,yes,no,cellular,2,apr,293,2,314,2,failure,no
22,53,blue-collar,married,primary,no,1409,-0.2605142407621699,0.08370852368041065,yes,no,cellular,2,apr,464,1,287,1,failure,no
23,40,management,married,primary,no,738,0.9367780180940413,0.7427251619791111,yes,yes,cellular,2,apr,399,2,258,3,failure,no
24,57,management,married,tertiary,no,1631,1.2512067163485006,0.28371539198510837,yes,no,cellular,2,apr,254,2,261,3,failure,no
25,37,management,married,tertiary,no,489,-1.1972893384411112,1.0994541993253497,yes,no,cellular,3,apr,246,2,133,6,failure,no
26,38,technician,married,secondary,no,-421,-0.5945701732099125,0.40719868444574464,yes,no,cellular,3,apr,187,1,332,5,failure,no
27,54,retired,married,primary,no,136,1.7244622997279424,0.9598390714713467,yes,no,cellular,3,apr,352,1,332,2,failure,no
28,56,admin.,married,primary,no,0,0.8123733057609788,-0.45032505048713867,yes,no,cellular,3,apr,353,2,227,4,failure,no
29,24,services,single,secondary,no,496,0.5928705390484599,1.5509793791192559,yes,no,cellular,3,apr,297,1,323,2,failure,no
30,35,admin.,married,secondary,no,3187,0.4184144707695051,-0.5267401138778681,yes,no,cellular,3,apr,445,1,135,3,failure,no
31,31,services,single,secondary,no,695,0.49093790613375643,-1.1439776934186174,yes,no,cellular,3,apr,314,1,318,1,failure,no
32,34,blue-collar,single,secondary,yes,-60,0.5603040202695914,-0.06999093194495343,no,no,cellular,3,apr,84,1,332,1,failure,no
33,38,technician,married,secondary,no,275,-0.3323642770757681,0.5425315191534824,yes,no,cellular,3,apr,277,2,333,1,failure,no
34,56,retired,married,secondary,no,3948,2.57182687875626,0.6142104004180227,no,no,cellular,3,apr,484,1,135,3,failure,no
35,39,management,married,secondary,no,517,0.05348134337625034,-0.7767166394479518,yes,no,cellular,3,apr,240,1,136,5,failure,no
36,56,unemployed,divorced,secondary,no,283,0.39501925809548016,0.06516716663959865,yes,yes,cellular,20,apr,89,3,341,2,failure,no
37,57,technician,married,tertiary,no,3082,1.7554824344692035,0.006022694400519529,yes,yes,cellular,20,apr,267,2,294,3,failure,no
38,46,blue-collar,married,primary,no,292,1.1768998615322066,-1.0236461458431274,yes,no,cellular,20,apr,386,2,234,4,failure,no
39,40,blue-collar,single,secondary,no,169,1.3824777449056422,1.0837495266958763,yes,no,cellular,20,apr,214,1,346,1,failure,no
40,34,management,single,tertiary,no,8038,0.19355635814711797,-1.2091453471380544,yes,no,cellular,20,apr,29,3,152,1,failure,no
41,31,blue-collar,single,primary,no,71,1.4014033127899228,-0.9654828913328287,yes,no,cellular,20,apr,185,3,336,6,failure,no
42,43,admin.,married,secondary,no,101,0.0317751108658888,-0.45588084693675796,yes,no,cellular,20,apr,131,2,349,3,failure,no
43,27,student,single,secondary,no,2784,0.07970161281932298,0.31522471458271567,yes,no,telephone,20,apr,153,1,328,1,failure,no
44,53,admin.,married,secondary,no,225,0.8520269863725515,-1.5482323373496119,yes,no,cellular,20,apr,304,1,340,1,failure,no
45,34,blue-collar,single,secondary,no,550,0.2153779889315256,-0.14601080147368567,yes,no,cellular,20,apr,90,3,346,1,failure,no
46,33,blue-collar,married,secondary,no,2502,0.45010975458531277,-0.0037392083991115155,yes,no,cellular,20,apr,285,1,270,1,failure,no
47,51,blue-collar,married,primary,no,14,1.2236119393470317,-0.7678681625203719,yes,yes,cellular,20,apr,233,2,329,1,failure,no
48,50,entrepreneur,married,tertiary,no,221,0.28108551997703746,0.42355321798813,yes,no,cellular,20,apr,319,2,340,1,failure,no
49,34,blue-collar,married,primary,no,1217,0.47015565083238464,-1.0631637011353496,yes,no,cellular,20,apr,142,2,328,3,failure,no
50,43,services,divorced,secondary,no,266,1.2665747277087456,-0.6979932678872044,yes,yes,cellular,20,apr,79,1,152,1,failure,no
51,35,technician,single,tertiary,no,122,1.6519644253628876,0.6264857956481561,no,no,cellular,20,apr,49,5,328,5,failure,no
52,42,management,married,tertiary,no,72,1.5453424534618767,1.2324017942806709,yes,no,cellular,20,apr,124,2,348,3,failure,no
53,45,technician,married,secondary,no,497,0.6372526343671585,0.07886242355215861,yes,no,cellular,20,apr,72,1,321,2,failure,no
54,31,management,single,tertiary,no,635,0.6541537034088527,-0.12779252602337254,yes,no,cellular,20,apr,37,1,320,2,failure,no
55,35,blue-collar,married,secondary,no,360,0.7248271283172825,-1.0148458419803714,yes,no,telephone,20,apr,24,1,152,3,failure,no
56,35,admin.,married,secondary,no,1345,0.8987100645174351,2.318675142637192,yes,no,cellular,20,apr,163,1,271,1,failure,no
57,39,blue-collar,married,secondary,no,2299,1.0843489998151288,1.0688780909186026,yes,no,cellular,20,apr,450,1,271,1,failure,no
58,48,services,married,primary,no,0,-0.23004611205347159,0.8497761471485411,yes,no,cellular,20,apr,90,2,259,1,failure,no
59,33,blue-collar,single,secondary,no,15341,0.47863630993775974,-1.5631511333373465,no,no,cellular,20,apr,335,1,334,3,failure,no
60,33,admin.,single,secondary,no,285,1.9087652111033617,0.3551762468469303,yes,no,cellular,1,apr,427,1,329,1,other,no
61,37,management,married,secondary,no,1180,-0.6644957810336427,1.6498061875142014,yes,yes,cellular,1,apr,786,1,135,1,other,no
62,32,services,single,tertiary,no,1743,0.25527698084161377,-1.3400618247063047,yes,no,cellular,1,apr,1156,1,261,3,other,no
63,35,technician,married,secondary,no,0,0.5379007851486299,-1.3625185470507652,no,no,cellular,1,apr,295,1,303,1,other,no
64,49,admin.,married,primary,no,686,0.7660293306887113,-1.435335905880109,yes,yes,cellular,1,apr,286,2,225,4,other,no
65,33,blue-collar,married,secondary,no,3576,1.1378802951578437,0.5747743511361583,yes,no,cellular,2,apr,124,1,308,2,other,no
66,35,self-employed,married,tertiary,no,1250,1.4302462793955781,-0.07204611760279878,yes,no,cellular,2,apr,361,1,136,1,other,no
67,35,blue-collar,married,secondary,no,2643,2.6228729188959816,-0.5530019286283423,yes,no,cellular,2,apr,96,3,330,1,other,no
68,35,management,married,tertiary,no,1473,0.17137672357628264,0.9293688800892086,yes,no,cellular,20,apr,17,6,322,4,other,no
69,46,blue-collar,divorced,secondary,no,168,0.9975947757556519,-0.3744810963209858,yes,no,cellular,20,apr,255,1,336,4,other,no
70,34,management,single,tertiary,no,5452,0.15723103563492624,-1.497285148553268,no,no,cellular,20,apr,96,1,245,5,other,no
71,30,services,married,secondary,no,4867,0.7965389370076975,0.7440985124506139,yes,yes,telephone,20,apr,8,6,306,3,other,no
72,33,admin.,married,secondary,no,6,0.4501102090766194,1.738962492734792,yes,no,cellular,20,apr,386,1,349,3,other,no
73,43,admin.,married,secondary,no,1220,2.119617755065561,-0.928350899572117,yes,no,cellular,20,apr,349,2,339,1,other,no
74,35,management,single,tertiary,no,1422,2.1522047364866643,0.3733573723118459,yes,yes,cellular,20,apr,28,7,272,3,other,no
75,36,blue-collar,married,secondary,no,-53,-1.0050831737769093,-0.805104179337542,yes,no,cellular,20,apr,9,5,322,8,other,no
76,30,management,single,tertiary,no,63,0.09163170830381429,-0.39771395601845766,yes,no,cellular,20,apr,260,1,320,1,other,no
77,35,admin.,divorced,tertiary,no,262,-0.14566904510369638,-0.06884010128358797,yes,no,cellular,20,apr,690,2,335,4,other,no
78,31,blue-collar,married,secondary,no,1664,0.19165247035820532,-0.5956095088202565,yes,no,cellular,20,apr,158,1,182,1,success,no
79,38,services,married,secondary,no,5000,1.4297691717653596,0.018114282632449963,no,no,cellular,4,dec,720,5,536,5,failure,no
80,31,admin.,married,secondary,no,389,1.520967445636115,0.048947988187109326,yes,no,cellular,7,dec,69,1,185,2,failure,no
81,42,management,married,tertiary,no,144,1.0017630382945826,0.06657291060609272,no,no,cellular,7,dec,143,1,283,3,failure,no
82,32,admin.,single,secondary,no,8626,-0.11255857978293823,2.496092781567749,no,no,cellular,7,dec,200,1,196,2,failure,no
83,57,retired,divorced,primary,no,698,0.6408145719038455,-0.14235048876719403,no,no,telephone,9,dec,135,3,191,2,failure,no
84,22,student,single,tertiary,no,1258,1.074057639292048,0.1743816023728858,no,no,cellular,10,dec,182,1,156,1,failure,no
85,45,management,married,tertiary,no,1788,1.0665826065758706,-0.9113024096295607,no,no,cellular,10,dec,364,1,191,4,failure,no
86,40,management,single,tertiary,no,3797,1.2685064667850288,-0.019872131575461582,no,no,cellular,14,dec,263,1,195,2,failure,no
87,35,management,married,tertiary,no,3402,0.7818968013010253,0.8942560771178636,no,no,cellular,14,dec,269,1,194,2,failure,no
88,64,housemaid,married,primary,no,67,0.8102698787667801,1.4664016779251943,no,no,telephone,14,dec,86,2,111,1,failure,no
89,43,unemployed,married,secondary,no,775,1.8711493890241044,0.01408205849773947,no,no,cellular,16,dec,325,1,124,2,failure,no
90,46,management,married,tertiary,no,0,0.41101612601859,-1.7315894178531601,yes,no,cellular,17,dec,155,1,199,2,failure,no
91,47,technician,married,secondary,no,0,-0.2938059668842243,-1.134695290226566,yes,no,cellular,17,dec,97,1,231,2,failure,no
92,56,retired,married,secondary,no,393,0.2714328796976388,-0.2133087767683336,no,yes,cellular,17,dec,103,1,206,1,failure,no
